관리번호,수목명,수목구분,수목유형,식재일,관리기관전화번호,관리기관명,데이터기준일자,공원명,공원관리번호,도로명주소,지번주소,수목위치,수목위도,수목경도,흉고직경,근원직경,수령,보호덮개,보호틀,뿌리융기여부,통기,지장물,수목사진,기타사진
11230-00011-0001,모과나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57762527,127.071701,0.16,0.29,31,,,N,N,,02-11230-00011-0001-01.jpg,02-11230-00011-0001-02.jpg
11230-00011-0002,매실나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57765961,127.0717087,0.06,0.13,12,,,N,N,,02-11230-00011-0002-01.jpg,02-11230-00011-0002-02.jpg
11230-00011-0003,양버즘나무,공원수,교목,1987-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57765579,127.0716553,0.48,0.63,40,,,Y,N,,02-11230-00011-0003-01.jpg,02-11230-00011-0003-02.jpg
11230-00011-0004,단풍나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57769775,127.0717087,0.13,0.19,31,,,N,N,,02-11230-00011-0004-01.jpg,02-11230-00011-0004-02.jpg
11230-00011-0005,단풍나무,공원수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57772446,127.071701,0.12,0.14,28,,,N,N,,02-11230-00011-0005-01.jpg,02-11230-00011-0005-02.jpg
11230-00011-0006,목련,공원수,교목,2017-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57776642,127.0717163,0.06,0.12,10,,,N,N,,02-11230-00011-0006-01.jpg,02-11230-00011-0006-02.jpg
11230-00011-0007,모과나무,공원수,교목,1998-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57779312,127.0717087,0.15,0.24,29,,,N,N,,02-11230-00011-0007-01.jpg,02-11230-00011-0007-02.jpg
11230-00011-0008,잣나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57782745,127.0717163,0.17,0.18,27,,,N,N,,02-11230-00011-0008-01.jpg,02-11230-00011-0008-02.jpg
11230-00011-0009,단풍나무,공원수,교목,1992-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,2시,37.57798767,127.0719986,0.15,0.23,35,,,N,N,,02-11230-00011-0009-01.jpg,02-11230-00011-0009-02.jpg
11230-00011-0010,오동나무,공원수,교목,1971-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,1시,37.5779953,127.0719681,0.25,0.36,56,,,N,N,,02-11230-00011-0010-01.jpg,02-11230-00011-0010-02.jpg
11230-00011-0011,이팝나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57782745,127.0713272,0.16,0.21,34,,,N,N,,02-11230-00011-0011-01.jpg,02-11230-00011-0011-02.jpg
11230-00011-0012,단풍나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57780838,127.0713806,0.13,0.16,31,,,N,N,,02-11230-00011-0012-01.jpg,02-11230-00011-0012-02.jpg
11230-00011-0013,단풍나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57780075,127.0714035,0.08,0.15,19,,,N,N,,02-11230-00011-0013-01.jpg,02-11230-00011-0013-02.jpg
11230-00011-0014,단풍나무,공원수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57783508,127.071434,0.12,0.18,28,,,N,N,,02-11230-00011-0014-01.jpg,02-11230-00011-0014-02.jpg
11230-00011-0015,단풍나무,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57786179,127.0714035,0.14,0.17,33,,,N,N,,02-11230-00011-0015-01.jpg,02-11230-00011-0015-02.jpg
11230-00011-0016,단풍나무,공원수,교목,2006-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57789612,127.0714264,0.09,0.15,21,,,N,N,,02-11230-00011-0016-01.jpg,02-11230-00011-0016-02.jpg
11230-00011-0017,이팝나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57791138,127.0714493,0.12,0.2,25,,,N,N,,02-11230-00011-0017-01.jpg,02-11230-00011-0017-02.jpg
11230-00011-0018,계수나무,공원수,교목,1965-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57795715,127.0714264,0.32,0.38,62,,,N,N,,02-11230-00011-0018-01.jpg,02-11230-00011-0018-02.jpg
11230-00011-0019,이팝나무,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57797623,127.0713882,0.15,0.17,32,,,N,N,,02-11230-00011-0019-01.jpg,02-11230-00011-0019-02.jpg
11230-00011-0020,단풍나무,공원수,교목,2001-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57798386,127.071434,0.11,0.12,26,,,N,N,,02-11230-00011-0020-01.jpg,02-11230-00011-0020-02.jpg
11230-00011-0021,단풍나무,공원수,교목,2003-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,1시,37.57797241,127.0714645,0.1,0.15,24,,,N,N,,02-11230-00011-0021-01.jpg,02-11230-00011-0021-02.jpg
11230-00011-0022,목련,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57795715,127.0713882,0.19,0.25,32,,,N,N,,02-11230-00011-0022-01.jpg,02-11230-00011-0022-02.jpg
11230-00011-0023,단풍나무,공원수,교목,1999-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57787704,127.0713806,0.12,0.14,28,,,N,N,,02-11230-00011-0023-01.jpg,02-11230-00011-0023-02.jpg
11230-00011-0024,버드나무,공원수,교목,2022-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57793045,127.0713959,0.04,0.06,5,,,N,N,,02-11230-00011-0024-01.jpg,02-11230-00011-0024-02.jpg
11230-00011-0025,모과나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57760239,127.0709229,0.1,0.2,19,,,N,N,,02-11230-00011-0025-01.jpg,02-11230-00011-0025-02.jpg
11230-00011-0026,단풍나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57739639,127.0713654,0.05,0.06,12,,,N,N,,02-11230-00011-0026-01.jpg,02-11230-00011-0026-02.jpg
11230-00011-0027,산딸나무,공원수,교목,2014-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57760239,127.0709152,0.07,0.14,13,,,N,N,,02-11230-00011-0027-01.jpg,02-11230-00011-0027-02.jpg
11230-00011-0028,단풍나무,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57760239,127.0709152,0.08,0.12,19,,,N,N,,02-11230-00011-0028-01.jpg,02-11230-00011-0028-02.jpg
11230-00011-0029,단풍나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.57755727,127.0712999,0.13,0.19,31,,,N,N,,02-11230-00011-0029-01.jpg,02-11230-00011-0029-02.jpg
11230-00011-0030,은행나무,공원수,교목,1984-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57759857,127.0717773,0.34,0.36,43,,,N,N,,02-11230-00011-0030-01.jpg,02-11230-00011-0030-02.jpg
11230-00011-0031,잣나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57771301,127.0714798,0.16,0.22,25,,,N,N,,02-11230-00011-0031-01.jpg,02-11230-00011-0031-02.jpg
11230-00011-0032,잣나무,공원수,교목,2005-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.5775297,127.0712669,0.14,0.21,22,,,N,N,,02-11230-00011-0032-01.jpg,02-11230-00011-0032-02.jpg
11230-00011-0033,소나무,공원수,교목,1957-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,3시,37.57759476,127.0719452,0.37,0.39,70,,,N,N,,02-11230-00011-0033-01.jpg,02-11230-00011-0033-02.jpg
11230-00011-0034,피나무,공원수,교목,1998-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,6시,37.57741928,127.0713577,0.13,0.15,29,,,N,N,,02-11230-00011-0034-01.jpg,02-11230-00011-0034-02.jpg
11230-00011-0035,잣나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,12시,37.57773209,127.0714874,0.17,0.25,27,,,N,N,,02-11230-00011-0035-01.jpg,02-11230-00011-0035-02.jpg
11230-00011-0036,사과나무,공원수,교목,2005-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,7시,37.57752133,127.0713013,0.11,0.18,22,,,N,N,,02-11230-00011-0036-01.jpg,02-11230-00011-0036-02.jpg
11230-00011-0037,단풍나무,공원수,교목,2017-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장안근린공원,11230-00011,,서울특별시 동대문구 장안동 300,9시,37.5776329,127.0709305,0.04,0.06,10,,,N,N,,02-11230-00011-0037-01.jpg,02-11230-00011-0037-02.jpg
