관리번호,수목명,수목구분,수목유형,식재일,관리기관전화번호,관리기관명,데이터기준일자,도로명,도로종류,도로시작점,도로종료점,수목위치,수목위도,수목경도,도로명주소,지번주소,행정동,흉고직경,근원직경,식재간격,수령,도로폭,보도폭,보호덮개,보호틀,보호틀파손여부,뿌리융기여부,통기,지장물1,지장물2,수목전경사진,보호덮개사진
06-천호대로-가-0484,양버즘나무,가로수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,천호대로 47 앞,37.574013,127.028637,,서울특별시 동대문구 용두동 237-10,용신동,0.38,0.45,19,32,40,3,,,N,N,N,전깃줄,,01-06-천호대로-가-0484-001.jpg,01-06-천호대로-가-0484-002.jpg
06-외대역동로-가-0141,양버즘나무,가로수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,외대역동로,특별시도,서울특별시 동대문구 휘경동 55-3,서울특별시 동대문구 이문동 101-37,동양엔파트 앞,37.5918797,127.0669315,,서울특별시 동대문구 휘경동 112-43,휘경1동,0.4,0.51,,34,10,1.1,주철,말발굽형,N,Y,N,전깃줄,,01-06-외대역동로-가-0141-001.jpg,01-06-외대역동로-가-0141-002.jpg
06-제기로17길-가-0003,은행나무,가로수,교목,1976-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,제기로17길,특별시도,서울특별시 동대문구 청량리동 520-55,서울특별시 동대문구 청량리동 205-293,서일eng 앞,37.58716202,127.0412064,,서울특별시 동대문구 청량리동 203-316,청량리동,0.41,0.49,5,52,14,1.5,기타,,N,N,N,전깃줄,건물,01-06-제기로17길-가-0003-001.jpg,01-06-제기로17길-가-0003-002.jpg
06-천호대로-가-0339,양버즘나무,가로수,교목,1979-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,천호대로,특별시도,서울특별시 동대문구 신설동 117-21,서울특별시 동대문구 장안동 204-13,신답역 앞 정류장 앞,37.57086182,127.0471039,,서울특별시 동대문구 답십리동 524-1,답십리1동,0.58,0.6,7,49,40,3,압연강판,사각형,N,N,N,전깃줄,,01-06-천호대로-가-0339-001.jpg,01-06-천호대로-가-0339-002.jpg
06-답십리로-가-0017,양버즘나무,가로수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,답십리로,특별시도,서울특별시 동대문구 전농동 621-1,서울특별시 동대문구 장안동 333-2,대한열쇠 앞,37.576884,127.0461165,,서울특별시 동대문구 전농동 485-11,전농1동,0.43,0.57,7.9,36,30,1.3,주철,사각형,N,N,N,표지판,전깃줄,01-06-답십리로-가-0017-001.jpg,01-06-답십리로-가-0017-002.jpg
06-사가정로-가-0199,은행나무,가로수,교목,2003-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,사가정로,특별시도,서울특별시 동대문구 답십리동 524-1,경기도 구리시 아천동 28-2,푸른마을아파트,37.58006429,127.0751598,,서울특별시 동대문구 장안동 469-1,장안2동,0.19,0.25,5,24,20,1,주철,사각형,N,N,N,전깃줄,,01-06-사가정로-가-0199-001.jpg,01-06-사가정로-가-0199-002.jpg
06-한천로-가-0376,은행나무,가로수,교목,1992-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,한천로,특별시도,서울특별시 동대문구 장안동 413-7,서울특별시 동대문구 이문동 209-13,시현pet살롱 앞,37.5984167,127.0676494,,서울특별시 동대문구 이문동 105-1,이문1동,0.28,0.37,8,35,20,0.9,압연강판,사각형,N,N,N,전깃줄,,01-06-한천로-가-0376-001.jpg,01-06-한천로-가-0376-002.jpg
06-서울시립대로-가-0126,은행나무,가로수,교목,1971-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,정원돌솥밥,37.5827053,127.0528696,,서울특별시 동대문구 전농동 124-19,전농1동,0.45,0.55,7,57,25,1.7,주철,사각형,N,N,N,전깃줄,,01-06-서울시립대로-가-0126-001.jpg,01-06-서울시립대로-가-0126-002.jpg
06-서울시립대로-가-0195,은행나무,가로수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,서울시립대로,특별시도,서울특별시 동대문구 답십리동 464-1,서울특별시 동대문구 전농동 152-11,주안건설앞,37.5807499,127.0515311,,서울특별시 동대문구 전농동 582-24,전농1동,0.42,0.51,5.7,53,25,1.7,주철,사각형,N,N,N,전깃줄,,01-06-서울시립대로-가-0195-001.jpg,01-06-서울시립대로-가-0195-002.jpg
06-제기로17길-가-0032,은행나무,가로수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,제기로17길,특별시도,서울특별시 동대문구 청량리동 520-55,서울특별시 동대문구 청량리동 205-293,제기로17길53 앞,37.5891748,127.0407363,,서울특별시 동대문구 청량리동 205-375,청량리동,0.42,0.48,5.6,53,14,1.7,기타,,N,N,N,전신주,전깃줄,01-06-제기로17길-가-0032-001.jpg,01-06-제기로17길-가-0032-002.jpg
