osmid,lat,lon
287288045,37.5826576,127.0295291
287710021,37.5799503,127.0452204
287710035,37.5801195,127.0450075
414683355,37.5763738,127.0344998
414685840,37.5654064,127.0547896
414686006,37.58294,127.03861
414686052,37.5900553,127.0559233
414686055,37.5896229,127.036431
414688095,37.6029799,127.0620569
436718791,37.5780269,127.0321978
436718795,37.5781189,127.0364523
436718797,37.5781256,127.0379497
436718803,37.5795872,127.0435884
436761387,37.5721111,127.035033
436776271,37.5916104,127.0522541
436776273,37.5926082,127.0525222
436776274,37.5931834,127.0526491
436818221,37.5759452,127.0381678
436818224,37.5775767,127.0382702
436818226,37.5781279,127.0383515
436818245,37.5865683,127.038378
436818258,37.58788,127.0375
436818260,37.5884,127.03715
436833485,37.5727571,127.0655747
436833512,37.57836,127.04327
436833513,37.57877,127.04295
436833515,37.5792189,127.0424385
436856610,37.6053363,127.0669018
436856612,37.6054111,127.0673587
436860043,37.5915769,127.0672558
436860045,37.59216,127.06642
436860056,37.5945924,127.0645785
436860494,37.5882727,127.0347156
436860746,37.5828294,127.0359525
436860758,37.58312,127.04424
436860768,37.583267,127.0470473
436860769,37.5827774,127.0476382
436860770,37.5826015,127.0478504
436866826,37.59126,127.03929
436867949,37.603,127.0631763
436867953,37.60301,127.0663
436867954,37.60301,127.06682
436868066,37.5886116,127.0540269
436868085,37.5964503,127.0602719
436868096,37.59902,127.06174
436868099,37.59933,127.06185
436868111,37.6027512,127.0620607
436868248,37.5971156,127.067853
436868263,37.6002545,127.0702159
436868267,37.601484,127.0710958
436870773,37.5698113,127.0701514
436870860,37.5660743,127.0555881
436871380,37.5864376,127.0333918
436871385,37.58656,127.03719
436871390,37.5866311,127.0402828
436871394,37.58673,127.04309
436871811,37.58379,127.03621
436871814,37.58592,127.03679
436871817,37.5865568,127.036982
436872021,37.5912061,127.0363517
436875635,37.5703614,127.0290262
436881849,37.5807814,127.0450388
436881851,37.58192,127.04465
436881875,37.58729,127.04298
436881877,37.58795,127.04288
436881885,37.5903253,127.0424216
436881887,37.5909354,127.0424561
436881889,37.5913734,127.0425165
436882717,37.5904834,127.0546093
436882721,37.5914413,127.0528806
436882725,37.5913,127.05181
436882727,37.5914546,127.0497345
436882731,37.591511,127.0430134
436882733,37.5913014,127.0418198
436883188,37.5959,127.06152
436883189,37.5959587,127.0613883
436883191,37.596176,127.0609197
436883197,37.5901346,127.0581261
436883199,37.5904075,127.0588531
436883201,37.59029,127.06085
490631657,37.5767107,127.0382147
490631662,37.5726926,127.0430904
490631666,37.5741524,127.0483639
490631668,37.5733477,127.0498377
490631670,37.5724813,127.0513665
490631672,37.5733478,127.0476709
490631673,37.5725512,127.0491465
490631683,37.5745327,127.0476491
490631687,37.5743003,127.0477676
490631697,37.5766848,127.0446765
490631708,37.5748834,127.0434998
490631710,37.5746403,127.0439871
490631719,37.5760653,127.0443892
490631721,37.5763502,127.0434893
490631728,37.5763133,127.0435819
490631730,37.5769609,127.0437851
490631732,37.5754751,127.0439492
490631733,37.5756331,127.0434782
490631734,37.5762608,127.0437721
490631735,37.5761198,127.0437071
490631736,37.5759442,127.044302
